Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Time_Period
Monday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,3,Changing lane to the left,Serious Injury,Evening
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Changing lane to the right,Slight Injury,Night
Friday,31-50,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,3,Overloading,Slight Injury,Afternoon
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,3,Other,Slight Injury,Evening
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner, Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,3,Changing lane to the right,Slight Injury,Evening
Friday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,3,Moving Backward,Serious Injury,Evening
Saturday,31-50,Male,Above high school,Employee,No Licence,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,3,No priority to pedestrian,Serious Injury,Afternoon
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,3,No distancing,Serious Injury,Evening
Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,3,Moving Backward,Serious Injury,Morning
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,3,Overtaking,Serious Injury,Afternoon
Thursday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Getting off,3,Overloading,Serious Injury,Afternoon
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,3,Changing lane to the right,Serious Injury,Afternoon
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,3,Other,Slight Injury,Evening
Wednesday,18-30,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,3,Changing lane to the left,Slight Injury,Evening
Tuesday,Over 51,Unknown,Junior high school,Unknown,5-10yr,Automobile,Owner,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to pedestrian,Slight Injury,Afternoon
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,2,Overspeed,Slight Injury,Afternoon
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,3,No priority to vehicle,Slight Injury,Evening
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,3,Changing lane to the right,Slight Injury,Afternoon
Saturday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,3,No priority to pedestrian,Slight Injury,Afternoon
Saturday,18-30,Male,High school,Employee,5-10yr,Automobile,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,3,No distancing,Slight Injury,Afternoon
Friday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,2,Other,Slight Injury,Night
Sunday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
